transaction_id,customer_name,category,price,quantity,rating,country,created_date,rejection_reason
TXN-0001897,Daniel Jackson,Toys & Games,826.58,,4.7,Netherlands,2023-10-24 01:22:56,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0000721,John Lopez,Books,-304.39,7,1.5,Australia,2024-10-12 23:29:11,INVALID_PRICE_NON_POSITIVE
TXN-0009580,Thomas Taylor,Electronics,1340.72,3,Five,Germany,2023-03-23 16:09:35,MISSING_OR_UNPARSEABLE_RATING
TXN-0011432,Mary Perez,Books,777.77,3,7.2,France,2023-03-30 06:44:29,RATING_OUT_OF_BOUNDS
TXN-0008062,Nancy Brown,Apparel,1038.37,5,4.3,,2023-07-05 01:25:46,MISSING_OR_INVALID_COUNTRY
TXN-0008376,Christopher Moore,Automotive,1392.83,6,Five,Germany,2023-03-19 12:27:58,MISSING_OR_UNPARSEABLE_RATING
TXN-0001977,William Thompson,Home & Kitchen,-1497.33,2,3.7,United Kingdom,2023-05-22 13:12:58,INVALID_PRICE_NON_POSITIVE
TXN-0011620,Linda Smith,Books,1432.16,5,3.9,United States,None,MISSING_OR_UNPARSEABLE_DATE
TXN-0008982,Nancy Martinez,Beauty & Personal Care,-634.92,1,1.9,Australia,2023-06-01 08:23:12,INVALID_PRICE_NON_POSITIVE
TXN-0010956,Daniel Martin,Sports & Outdoors,1367.69,6,3.4,Germany,NULL,MISSING_OR_UNPARSEABLE_DATE
TXN-0003012,Nancy Hernandez,Apparel,1291.75,None,4.9,Germany,2023-09-29 11:29:23,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0011145,Sarah Williams,Apparel,439.52,6,1.2,,2023-12-20 23:04:00,MISSING_OR_INVALID_COUNTRY
TXN-0010595,Daniel Jackson,Sports & Outdoors,930.53,4,6.5,United States,2023-07-25 14:27:20,RATING_OUT_OF_BOUNDS
TXN-0005053,Mary Jackson,Sports & Outdoors,844.28,6,-1.0,Australia,2023-02-15 23:29:30,RATING_OUT_OF_BOUNDS
TXN-0010569,Nancy Moore,Electronics,247.25,8,0.0,Japan,2024-03-21 15:52:36,RATING_OUT_OF_BOUNDS
TXN-0011113,Lisa Rodriguez,Apparel,-548.53,1,1.8,Germany,2023-05-27 08:08:55,INVALID_PRICE_NON_POSITIVE
TXN-0002110,Jennifer Jones,Beauty & Personal Care,64.95,None,2.5,Netherlands,2024-08-11 22:47:39,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0009981,David Miller,Sports & Outdoors,976.45,5,,United States,2023-08-10 18:28:43,MISSING_OR_UNPARSEABLE_RATING
TXN-0012262,Nancy Martinez,Electronics,958.38,1,Five,Brazil,2024-01-26 04:38:16,MISSING_OR_UNPARSEABLE_RATING
TXN-0004555,David Rodriguez,Home & Kitchen,1176.23,6,0.0,India,2024-09-10 16:27:55,RATING_OUT_OF_BOUNDS
TXN-0003790,Robert Wilson,Apparel,454.43,8,1.2,,2023-07-20 23:39:29,MISSING_OR_INVALID_COUNTRY
TXN-0009797,,Automotive,577.09,7,3.5,Japan,2024-11-21 15:22:09,MISSING_CUSTOMER_NAME
TXN-0002794,NULL,Electronics,256.38,1,1.1,Japan,2024-01-23 04:14:39,MISSING_CUSTOMER_NAME
TXN-0007124,None,Electronics,56.15,3,3.9,India,2023-08-21 12:41:20,MISSING_CUSTOMER_NAME
TXN-0006279,Jennifer Johnson,Toys & Games,$179.84,2,4.1,,2024-12-31,MISSING_OR_INVALID_COUNTRY
TXN-0011889,Karen Martinez,Home & Kitchen,853.59,8,2.5,India,,MISSING_OR_UNPARSEABLE_DATE
TXN-0007989,Robert Martin,Home & Kitchen,204.94,1,-1.0,France,2023-03-20 02:56:37,RATING_OUT_OF_BOUNDS
TXN-0011513,Daniel Jones,Automotive,738.03,,2.4,Netherlands,2023-03-22 04:37:57,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0002491,Linda Wilson,Home & Kitchen,-1261.33,5,3.2,Japan,2023-01-24 16:15:03,INVALID_PRICE_NON_POSITIVE
TXN-0012211,Nancy Miller,Beauty & Personal Care,907.32,3,None,Netherlands,2023-12-31 00:31:49,MISSING_OR_UNPARSEABLE_RATING
TXN-0004421,Jessica Hernandez,Sports & Outdoors,NULL,3,2.1,Japan,2024-08-07 18:57:52,MISSING_OR_UNPARSEABLE_PRICE
TXN-0005909,James Smith,Electronics,321.53,8,7.2,Canada,2023-12-14 11:08:32,RATING_OUT_OF_BOUNDS
TXN-0004180,Jennifer Brown,Automotive,1203.81,7,4.8,None,2024-03-23 12:39:03,MISSING_OR_INVALID_COUNTRY
TXN-0004507,NULL,Toys & Games,39.16,7,4.7,Japan,2024-09-21 21:19:26,MISSING_CUSTOMER_NAME
TXN-0006758,William Anderson,Home & Kitchen,442.59,7,,India,2024-09-27 12:27:56,MISSING_OR_UNPARSEABLE_RATING
TXN-0006144,John Gonzalez,Electronics,325.35,2,2.0,Brazil,None,MISSING_OR_UNPARSEABLE_DATE
TXN-0001108,David White,Automotive,NULL,5,3.8,Germany,2023-10-02 04:34:39,MISSING_OR_UNPARSEABLE_PRICE
TXN-0009238,Richard Thompson,Home & Kitchen,684.6,8,2.5,Canada,NULL,MISSING_OR_UNPARSEABLE_DATE
TXN-0005941,Richard Williams,Sports & Outdoors,843.51,NULL,2.5,Japan,2024-06-18 14:29:01,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0000259,Barbara Johnson,Home & Kitchen,352.06,2,2.4,Japan,,MISSING_OR_UNPARSEABLE_DATE
TXN-0003366,Mary Perez,Apparel,947.86,5,Five,India,2023-01-20 23:28:02,MISSING_OR_UNPARSEABLE_RATING
TXN-0003918,Linda Thompson,Books,-1117.21,3,1.7,India,2024-10-16 18:47:58,INVALID_PRICE_NON_POSITIVE
TXN-0003242,James Rodriguez,Beauty & Personal Care,1336.89,1,Five,Brazil,2024-04-05 14:29:13,MISSING_OR_UNPARSEABLE_RATING
TXN-0009492,Joseph Brown,Toys & Games,-343.81,6,4.0,India,2024-05-02 10:26:44,INVALID_PRICE_NON_POSITIVE
TXN-0010864,Robert Garcia,Apparel,-1305.42,1,1.2,India,2023-05-18 23:18:30,INVALID_PRICE_NON_POSITIVE
TXN-0004318,Lisa Thompson,Home & Kitchen,607.99,1,N/A,Netherlands,2024-03-11 01:46:15,MISSING_OR_UNPARSEABLE_RATING
TXN-0001134,Elizabeth Davis,Electronics,-1399.74,4,4.2,India,2024-05-09 19:22:22,INVALID_PRICE_NON_POSITIVE
TXN-0011965,Charles Thomas,Electronics,None,8,2.4,Germany,2024-01-25 10:51:07,MISSING_OR_UNPARSEABLE_PRICE
TXN-0002693,Patricia Lopez,Books,268.26,7,0.0,Netherlands,2023-06-13 01:07:08,RATING_OUT_OF_BOUNDS
TXN-0011446,David Jones,Beauty & Personal Care,NULL,6,3.5,Canada,2023-02-20 07:15:20,MISSING_OR_UNPARSEABLE_PRICE
TXN-0011409,John Thomas,Apparel,619.19,8,2.8,Netherlands,None,MISSING_OR_UNPARSEABLE_DATE
TXN-0008016,David Jones,Automotive,-439.51,5,3.6,Japan,2024-08-06 07:31:31,INVALID_PRICE_NON_POSITIVE
TXN-0000500,William Thomas,Home & Kitchen,1118.17,5,None,India,2024-03-11 05:40:54,MISSING_OR_UNPARSEABLE_RATING
TXN-0005821,Linda Jackson,Books,849.83,5,7.2,United States,2023-07-12 01:35:43,RATING_OUT_OF_BOUNDS
TXN-0002266,Lisa Davis,Automotive,1394.71,None,2.3,Canada,2024-05-29 07:25:22,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0007224,David Miller,Apparel,853.96,4,6.5,Netherlands,2024-03-03 23:03:31,RATING_OUT_OF_BOUNDS
TXN-0003152,Daniel Rodriguez,Home & Kitchen,-1487.43,7,2.3,India,2023-07-30 20:33:55,INVALID_PRICE_NON_POSITIVE
TXN-0009540,Barbara Jones,Electronics,593.81,1,NULL,Brazil,2023-12-03 17:38:06,MISSING_OR_UNPARSEABLE_RATING
TXN-0010804,Jennifer Brown,Toys & Games,44.45,1,2.8,,2023-06-02 15:42:36,MISSING_OR_INVALID_COUNTRY
TXN-0010301,Richard Lee,Toys & Games,,4,1.5,United Kingdom,2023-03-23 08:14:14,MISSING_OR_UNPARSEABLE_PRICE
TXN-0011698,Thomas Perez,Automotive,1369.81,6,,Brazil,2023-05-04 15:08:37,MISSING_OR_UNPARSEABLE_RATING
TXN-0008765,Thomas White,Books,634.77,6,Five,Japan,2023-10-20 00:46:54,MISSING_OR_UNPARSEABLE_RATING
TXN-0005660,James Martin,Books,1495.07,6,0.0,Canada,2023-07-14 02:17:51,RATING_OUT_OF_BOUNDS
TXN-0006582,Daniel Perez,Home & Kitchen,917.84,3,-1.0,India,2023-12-03 21:48:27,RATING_OUT_OF_BOUNDS
TXN-0004943,John Lee,Books,-1396.93,5,4.3,France,2023-06-09 02:21:30,INVALID_PRICE_NON_POSITIVE
TXN-0004896,Daniel Lopez,Toys & Games,-1332.73,5,3.4,United Kingdom,2023-10-16 12:39:26,INVALID_PRICE_NON_POSITIVE
TXN-0011607,Sarah Johnson,Automotive,1207.62,2,2.4,None,2024-12-14 15:14:05,MISSING_OR_INVALID_COUNTRY
TXN-0010562,Karen Jones,Books,726.89,8,None,Germany,2024-06-10 15:00:01,MISSING_OR_UNPARSEABLE_RATING
TXN-0011223,NULL,Sports & Outdoors,167.06,1,2.3,Canada,2024-01-22 06:53:02,MISSING_CUSTOMER_NAME
TXN-0005709,David Martinez,Beauty & Personal Care,NULL,4,3.5,India,2024-11-18 20:14:10,MISSING_OR_UNPARSEABLE_PRICE
TXN-0002184,Mary Lopez,Sports & Outdoors,143.66,8,6.5,Netherlands,2023-07-29 03:05:26,RATING_OUT_OF_BOUNDS
TXN-0009952,Nancy Wilson,Beauty & Personal Care,406.3,NULL,2.3,India,2024-02-07 14:37:39,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0010024,Robert Jackson,Home & Kitchen,844.5,8,3.1,France,,MISSING_OR_UNPARSEABLE_DATE
TXN-0000895,Joseph Williams,Toys & Games,1212.31,6,7.2,Netherlands,2024-11-13 22:12:36,RATING_OUT_OF_BOUNDS
TXN-0007536,NULL,Beauty & Personal Care,1425.23,3,1.0,Australia,2024-06-14 10:18:10,MISSING_CUSTOMER_NAME
TXN-0001383,Joseph Brown,Home & Kitchen,1070.48,3,Five,Brazil,2023-08-27 11:27:41,MISSING_OR_UNPARSEABLE_RATING
TXN-0000380,Elizabeth Thompson,Sports & Outdoors,1343.75,6,N/A,Japan,2023-06-19 11:42:41,MISSING_OR_UNPARSEABLE_RATING
TXN-0006313,Lisa Rodriguez,Electronics,537.92,4,6.5,India,2023-06-05 13:57:00,RATING_OUT_OF_BOUNDS
TXN-0001034,Susan Martin,Beauty & Personal Care,1204.2,4,Five,United Kingdom,2024-03-02 16:25:33,MISSING_OR_UNPARSEABLE_RATING
TXN-0011262,Barbara Perez,Sports & Outdoors,-1111.07,6,1.5,Australia,2023-02-26 12:45:23,INVALID_PRICE_NON_POSITIVE
TXN-0001689,Lisa Smith,Automotive,1194.6,6,1.4,Germany,None,MISSING_OR_UNPARSEABLE_DATE
TXN-0000535,Sarah Gonzalez,Books,791.66,4,3.3,Germany,,MISSING_OR_UNPARSEABLE_DATE
TXN-0011046,David Wilson,Electronics,1349.47,6,NULL,France,2024-02-19 01:56:28,MISSING_OR_UNPARSEABLE_RATING
TXN-0004832,Richard Thomas,Electronics,185.21,8,4.2,United Kingdom,,MISSING_OR_UNPARSEABLE_DATE
TXN-0004506,None,Apparel,586.66,6,3.7,India,2024-11-15 02:03:10,MISSING_CUSTOMER_NAME
TXN-0011287,William Taylor,Home & Kitchen,1053.94,1,0.0,Netherlands,2023-02-20 21:33:43,RATING_OUT_OF_BOUNDS
TXN-0010266,Susan Davis,Toys & Games,1092.8,6,Five,Brazil,2023-09-12 04:39:40,MISSING_OR_UNPARSEABLE_RATING
TXN-0007705,NULL,Books,1220.72,7,2.4,United Kingdom,2024-10-01 16:55:59,MISSING_CUSTOMER_NAME
TXN-0009661,NULL,Sports & Outdoors,386.55,2,3.7,France,2024-10-09 05:46:07,MISSING_CUSTOMER_NAME
TXN-0002463,Richard Perez,Beauty & Personal Care,905.4,2,4.7,,2023-02-06 10:06:42,MISSING_OR_INVALID_COUNTRY
TXN-0001812,Sarah White,Apparel,429.44,5,4.4,,2024-02-12 14:49:47,MISSING_OR_INVALID_COUNTRY
TXN-0012121,Jessica Lopez,Electronics,247.23,8,4.0,None,2023-02-26 10:32:45,MISSING_OR_INVALID_COUNTRY
TXN-0008020,James Martinez,Automotive,985.48,8,6.5,Brazil,2023-08-21 10:25:46,RATING_OUT_OF_BOUNDS
TXN-0001639,David Smith,Toys & Games,-942.43,2,2.9,Netherlands,2024-11-13 03:28:31,INVALID_PRICE_NON_POSITIVE
TXN-0004503,William White,Sports & Outdoors,508.27,6,N/A,Australia,2024-05-23 08:41:03,MISSING_OR_UNPARSEABLE_RATING
TXN-0002157,Christopher Thomas,Apparel,620.95,5,1.3,,2023-12-07 02:32:23,MISSING_OR_INVALID_COUNTRY
TXN-0010757,John Thompson,Home & Kitchen,437.81,5,6.5,United States,2023-03-02 08:44:58,RATING_OUT_OF_BOUNDS
TXN-0009225,Charles Rodriguez,Automotive,944.92,3,6.5,Japan,2024-02-27 05:27:17,RATING_OUT_OF_BOUNDS
TXN-0007774,Sarah Brown,Sports & Outdoors,325.78,5,N/A,United States,2024-01-08 19:42:57,MISSING_OR_UNPARSEABLE_RATING
TXN-0012079,Thomas Wilson,Toys & Games,$449.37,3,3.5,Brazil,2024-12-31,DUPLICATE_TRANSACTION_ID
TXN-0007846,Thomas Perez,Electronics,-300.7,7,4.5,Germany,2023-06-08 22:09:18,INVALID_PRICE_NON_POSITIVE
TXN-0010093,Nancy Smith,Electronics,NULL,3,1.7,Brazil,2023-04-21 08:43:10,MISSING_OR_UNPARSEABLE_PRICE
TXN-0008147,Michael Lee,Apparel,-1073.35,3,3.2,United States,2024-05-23 01:29:46,INVALID_PRICE_NON_POSITIVE
TXN-0009936,William Taylor,Beauty & Personal Care,185.52,3,N/A,Germany,2023-02-18 23:42:26,MISSING_OR_UNPARSEABLE_RATING
TXN-0002229,Daniel Smith,Electronics,1370.15,6,1.8,,2024-10-03 11:58:43,MISSING_OR_INVALID_COUNTRY
TXN-0000104,Susan Jones,Books,621.02,3,1.7,NULL,2023-03-03 08:04:36,MISSING_OR_INVALID_COUNTRY
TXN-0004331,Sarah Jones,Home & Kitchen,1467.89,3,7.2,France,2023-06-22 23:19:57,RATING_OUT_OF_BOUNDS
TXN-0008475,James Garcia,Sports & Outdoors,1423.47,4,0.0,Canada,2023-01-25 07:37:01,RATING_OUT_OF_BOUNDS
TXN-0006277,Karen Smith,Home & Kitchen,112.5,8,0.0,India,2024-04-05 08:28:34,RATING_OUT_OF_BOUNDS
TXN-0011838,Mary Wilson,Apparel,-1311.59,2,3.0,Australia,2024-06-25 11:36:52,INVALID_PRICE_NON_POSITIVE
TXN-0012073,Patricia Hernandez,Home & Kitchen,860.03,3,Five,Germany,2023-03-02 14:04:43,MISSING_OR_UNPARSEABLE_RATING
TXN-0000851,Karen Rodriguez,Automotive,-1407.15,1,4.4,United States,2023-09-08 21:08:33,INVALID_PRICE_NON_POSITIVE
TXN-0001466,Robert Lee,Toys & Games,1173.88,4,N/A,Netherlands,2023-09-03 19:48:50,MISSING_OR_UNPARSEABLE_RATING
TXN-0012230,Elizabeth Smith,Books,,6,1.4,Japan,2023-08-07 06:28:17,MISSING_OR_UNPARSEABLE_PRICE
TXN-0003957,William Williams,Electronics,46.07,6,4.2,Australia,None,MISSING_OR_UNPARSEABLE_DATE
TXN-0007068,Joseph Jackson,Sports & Outdoors,887.15,4,1.0,,2023-04-04 04:09:32,MISSING_OR_INVALID_COUNTRY
TXN-0000124,Linda Jackson,Beauty & Personal Care,265.5,,1.5,United States,2023-11-23 23:16:24,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0004599,Richard Jones,Home & Kitchen,847.35,7,N/A,United States,2023-11-10 14:43:31,MISSING_OR_UNPARSEABLE_RATING
TXN-0007166,Patricia Moore,Beauty & Personal Care,-678.06,2,2.9,Australia,2023-01-19 04:06:48,INVALID_PRICE_NON_POSITIVE
TXN-0001638,Susan White,Electronics,1446.39,5,6.5,India,2024-08-10 00:38:26,RATING_OUT_OF_BOUNDS
TXN-0004287,Karen Gonzalez,Home & Kitchen,442.2,3,0.0,Australia,2024-12-31 17:24:38,RATING_OUT_OF_BOUNDS
TXN-0004644,Jennifer Martinez,Home & Kitchen,516.87,6,None,United States,2024-03-21 01:03:06,MISSING_OR_UNPARSEABLE_RATING
TXN-0011053,None,Beauty & Personal Care,261.04,5,4.0,United States,2023-03-09 12:50:27,MISSING_CUSTOMER_NAME
TXN-0000750,William Jones,Beauty & Personal Care,1074.93,,1.1,India,2024-12-04 02:41:58,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0008417,NULL,Books,252.56,7,4.6,United States,2023-11-23 21:16:43,MISSING_CUSTOMER_NAME
TXN-0002333,David Miller,Beauty & Personal Care,678.1,8,N/A,Japan,2024-11-15 22:36:44,MISSING_OR_UNPARSEABLE_RATING
TXN-0008881,Thomas Rodriguez,Beauty & Personal Care,-1343.03,2,4.8,Brazil,2024-08-15 10:37:08,INVALID_PRICE_NON_POSITIVE
TXN-0001867,David Garcia,Electronics,917.78,1,4.2,France,,MISSING_OR_UNPARSEABLE_DATE
TXN-0002737,Patricia Gonzalez,Beauty & Personal Care,426.34,2,6.5,Japan,2024-09-25 12:39:51,RATING_OUT_OF_BOUNDS
TXN-0002625,Richard Thomas,Apparel,159.37,8,N/A,France,2024-05-12 20:14:30,MISSING_OR_UNPARSEABLE_RATING
TXN-0001566,James Miller,Beauty & Personal Care,677.49,4,Five,Japan,2023-04-09 21:32:06,MISSING_OR_UNPARSEABLE_RATING
TXN-0004790,Jessica Miller,Sports & Outdoors,-179.09,6,4.0,Germany,2023-10-17 10:51:26,INVALID_PRICE_NON_POSITIVE
TXN-0004319,David Lee,Automotive,979.2,3,-1.0,Brazil,2024-09-03 02:26:16,RATING_OUT_OF_BOUNDS
TXN-0000262,Robert Gonzalez,Apparel,-478.43,2,1.4,Japan,2023-08-28 10:31:18,INVALID_PRICE_NON_POSITIVE
TXN-0009787,NULL,Beauty & Personal Care,1467.58,5,1.9,Brazil,2024-05-09 20:02:07,MISSING_CUSTOMER_NAME
TXN-0000527,William Johnson,Automotive,840.74,8,,India,2023-05-25 22:58:27,MISSING_OR_UNPARSEABLE_RATING
TXN-0004698,NULL,Apparel,841.79,2,5.0,India,2024-06-30 06:53:27,MISSING_CUSTOMER_NAME
TXN-0010881,Nancy Davis,Books,1340.86,7,Five,Brazil,2024-11-21 21:30:40,MISSING_OR_UNPARSEABLE_RATING
TXN-0003697,Barbara Brown,Books,604.9,NULL,4.2,Australia,2024-07-21 11:30:05,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0004051,Susan Moore,Sports & Outdoors,-850.68,7,4.7,United States,2023-07-05 14:58:18,INVALID_PRICE_NON_POSITIVE
TXN-0002231,John Lee,Apparel,1342.19,1,-1.0,Germany,2023-10-04 14:10:31,RATING_OUT_OF_BOUNDS
TXN-0007880,None,Toys & Games,933.9,1,1.2,Netherlands,2024-02-26 06:37:40,MISSING_CUSTOMER_NAME
TXN-0004443,Linda Thomas,Sports & Outdoors,None,8,1.3,Canada,2024-07-04 15:01:25,MISSING_OR_UNPARSEABLE_PRICE
TXN-0003883,Daniel Williams,Books,NULL,7,4.8,Australia,2024-12-10 19:43:21,MISSING_OR_UNPARSEABLE_PRICE
TXN-0009456,Daniel Johnson,Automotive,277.14,1,-1.0,India,2024-05-29 10:38:57,RATING_OUT_OF_BOUNDS
TXN-0007184,None,Apparel,1418.04,8,4.0,Germany,2023-01-25 23:42:19,MISSING_CUSTOMER_NAME
TXN-0005960,Richard Anderson,Apparel,21.2,7,0.0,France,2024-05-31 07:26:46,RATING_OUT_OF_BOUNDS
TXN-0002494,John Wilson,Automotive,477.47,1,NULL,Canada,2023-12-08 18:53:50,MISSING_OR_UNPARSEABLE_RATING
TXN-0010770,William Williams,Automotive,124.46,5,Five,Germany,2023-02-16 11:21:58,MISSING_OR_UNPARSEABLE_RATING
TXN-0007750,Robert Martinez,Beauty & Personal Care,1002.03,7,3.4,None,2024-03-29 19:18:46,MISSING_OR_INVALID_COUNTRY
TXN-0009995,Christopher Lee,Apparel,,1,3.6,India,2024-04-08 07:45:12,MISSING_OR_UNPARSEABLE_PRICE
TXN-0005211,Barbara Lee,Toys & Games,,3,1.9,India,2024-07-18 15:52:50,MISSING_OR_UNPARSEABLE_PRICE
TXN-0004269,William Miller,Books,-351.86,7,2.9,Australia,2024-06-08 16:28:44,INVALID_PRICE_NON_POSITIVE
TXN-0000804,Joseph Brown,Home & Kitchen,916.44,2,-1.0,Netherlands,2023-02-02 14:22:01,RATING_OUT_OF_BOUNDS
TXN-0005389,,Electronics,1010.47,6,3.4,France,2023-10-30 12:57:51,MISSING_CUSTOMER_NAME
TXN-0003942,Patricia Moore,Toys & Games,,2,1.7,India,2023-09-28 01:17:43,MISSING_OR_UNPARSEABLE_PRICE
TXN-0000916,Karen Anderson,Beauty & Personal Care,420.8,1,,United Kingdom,2023-11-19 06:10:24,MISSING_OR_UNPARSEABLE_RATING
TXN-0004090,Michael Jackson,Toys & Games,720.08,6,Five,India,2024-09-27 21:41:13,MISSING_OR_UNPARSEABLE_RATING
TXN-0000114,Richard Moore,Beauty & Personal Care,1187.07,1,N/A,Canada,2023-04-06 23:51:39,MISSING_OR_UNPARSEABLE_RATING
TXN-0001563,Jessica Miller,Books,720.02,,1.4,India,2023-10-29 06:11:18,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0011159,Robert Wilson,Books,1191.34,NULL,1.1,Germany,2023-03-01 11:33:49,MISSING_OR_UNPARSEABLE_QUANTITY
TXN-0000697,Elizabeth Garcia,Toys & Games,213.65,2,Five,Japan,2023-08-24 12:38:17,MISSING_OR_UNPARSEABLE_RATING
TXN-0003216,Barbara Perez,Automotive,1155.5,8,4.9,India,None,MISSING_OR_UNPARSEABLE_DATE
TXN-0004732,NULL,Toys & Games,477.39,1,3.7,United Kingdom,2023-10-25 17:35:28,MISSING_CUSTOMER_NAME
TXN-0010470,James Gonzalez,Apparel,739.31,1,4.9,None,2024-07-25 11:00:32,MISSING_OR_INVALID_COUNTRY
TXN-0004926,Christopher Miller,Electronics,1264.82,6,-1.0,Germany,2023-03-11 16:42:49,RATING_OUT_OF_BOUNDS
