transaction_id,customer_name,category,price,quantity,rating,country,created_date
TXN-0001980,Christopher Perez,Sports & Outdoors,952.41,6,1.1,India,08-Aug-2023
TXN-0006453,Daniel Williams,Toys & Games,395.15,3,3.2,Japan,1672757378
TXN-0005316,Jessica Perez,Books,707.08,3,7.2,Japan,2023-07-21 16:26:34
TXN-0002768,James Hernandez,Home & Kitchen,41.01,6,2.1,Netherlands,10/01/2024
TXN-0006147,Thomas Gonzalez,Books,"1,405.35",2,2.0,United Kingdom,2023-06-26 03:24:57
TXN-0000552,Joseph Johnson,Books,1029.61,3,4.0,Germany,10/24/2024
TXN-0000693,Mary Jones,Home & Kitchen,42.07,4,2.8,France,2023-03-13 19:58:23
TXN-0000779,John Smith,Books,585.81,7,2.1,United Kingdom,2024-08-07 12:42:30
TXN-0005610,Robert Perez,Toys & Games,270.09,5,3.0,Japan,1701265573
TXN-0011059,Charles Jones,Apparel,$679.84,6,3.6,United States,2023-10-15 09:53:29
TXN-0000986,Daniel Wilson,Beauty & Personal Care,1491.36,1,3.4,Germany,2023-05-11 21:40:13
TXN-0008024,Richard Rodriguez,Beauty & Personal Care,1469.52,5,4.1,Brazil,2024-09-14 07:01:44
TXN-0003408,David Perez,Automotive,1469.86,4,2.0,United States,2024-08-29 12:53:25
TXN-0001745,Charles Thompson,Home & Kitchen,432.22,3,4.7,France,2024-07-09 02:05:35
TXN-0009409,,Sports & Outdoors,1292.55,7,2.9,India,2024-10-20 09:21:11
TXN-0006030,Jessica Jackson,Apparel,1199.85,5,1.1,Japan,2024-12-12 02:15:58
TXN-0010246,Robert Gonzalez,Apparel,1408.38,8,1.8,India,10-Jun-2024
TXN-0006198,Sarah Rodriguez,Home & Kitchen,"1,106.48",2,3.9,France,2024-07-25 21:15:55
TXN-0004259,John Davis,Beauty & Personal Care,1079.38,6,4.9,Netherlands,03/30/2024
TXN-0002838,Christopher Lopez,Electronics,893.7,7,2.8,United Kingdom,11/05/2023
TXN-0000120,Patricia Perez,beauty & personal care,1353.04,6,1.2,Brazil,2023-08-03 06:48:10
TXN-0010606,Linda White,Toys & Games,450.4,7,2.2,Netherlands,2024-03-17 07:23:32
TXN-0006510,John Smith,Automotive,373.97,8,2.9,Canada,2024-03-26 22:31:04
TXN-0005641,Charles Johnson,Automotive,527.09,7,3.4,United States,04-Jul-2024
TXN-0000619,Nancy Wilson,Apparel,210.14,7,4.4,Canada,2024-11-25 01:35:04
TXN-0009857,Christopher Garcia,Home & Kitchen,987.74,4,1.4,United States,2024-04-13 20:18:49
TXN-0002923,Jennifer Perez,Toys & Games,585.25,7,2.8,United Kingdom,2023-09-01 05:45:27
TXN-0000200,Richard Johnson,Books,832.07,2,2.5,Australia,2023-12-16 19:12:50
TXN-0007036,Barbara Taylor,Toys & Games,835.18,1,4.7,Germany,2023-02-12 17:07:33
TXN-0011850,Richard Brown,Automotive,37.43,5,2.3,India,2024-12-30 20:25:21
TXN-0005526,Linda Jackson,Beauty & Personal Care,None,1,1.1,Germany,2024-06-05 16:54:24
TXN-0003930,Robert Miller,Apparel,674.65,3,3.0,Australia,2024-05-05 21:28:09
TXN-0010625,Mary Lopez,Toys & Games,754.97,5,1.1,de,2023-08-26 04:08:39
TXN-0003384,Lisa Miller,Home & Kitchen,44.02,4,0.0,Japan,2024-05-14 00:52:37
TXN-0003544,Jessica White,Automotive,-14.53,1,1.9,France,2023-10-27 00:50:39
TXN-0011667,David Thompson,Automotive,289.33,4,4.5,United States,2024-03-26 22:14:23
TXN-0007327,Thomas Williams,  Sports & Outdoors  ,37.7,5,2.1,Brazil,2023-10-20 04:12:51
TXN-0004667,Elizabeth Lee,Sports & Outdoors,982.94,5,4.2,France,1726150809
TXN-0003981,Jennifer Taylor,Toys & Games,1330.91,4,2.5,U.K.,2023-01-25 23:24:13
TXN-0010915,Richard Moore,Toys & Games,452.35,5,2.8,India,2024-11-15 15:14:28
TXN-0005308,Linda Williams,AUTOMOTIVE,910.14,2,4.6,Canada,2023-10-23 17:04:50
TXN-0011378,Joseph Thompson,Beauty & Personal Care,1198.54,6,2.5,Australia,2024-01-09 20:08:14
TXN-0007348,Elizabeth Perez,Sports & Outdoors,221.46,5,2.7,,2024-11-05 14:13:37
TXN-0003498,Thomas Thompson,Home & Kitchen,1322.8,7,3.5,United States,2024-03-19 07:00:07
TXN-0008708,John Gonzalez,Beauty & Personal Care,13.21,2,2.2,Australia,2023-02-17 19:00:07
TXN-0001331,Sarah Moore,Home & Kitchen,672.72,4,2.0,United States,2024-09-11 06:11:14
TXN-0004330,Sarah Anderson,Electronics,727.84,6,1.9,United Kingdom,2024-03-18 01:57:19
TXN-0011541,Jessica Martin,Books,1059.14,8,4.8,France,None
TXN-0010809,Michael Davis,APPAREL,573.13,1,4.5,France,2024-07-14 01:17:12
TXN-0010533,Elizabeth Miller,Electronics,None,6,3.8,United States,2023-12-27 17:51:04
TXN-0000702,Charles Wilson,Sports & Outdoors,1461.52,2,NULL,India,2024-07-23 07:18:49
TXN-0006274,Daniel Lee,Sports & Outdoors,"1,416.91",4,2.6,United Kingdom,2023-12-30 02:07:08
TXN-0011556,Karen Wilson,Automotive,433.49,7,2.3,India,2024-01-28 00:36:56
TXN-0011659,Lisa Rodriguez,Apparel,854.43,6,1.5,Australia,03/18/2024
TXN-0007192,Susan Martin,Automotive,638.6,8,4.2,Germany,2024-05-14 16:52:33
TXN-0008843,Nancy Davis,Apparel,1298.14,3,3.3,ca,2024-03-25 09:01:20
TXN-0001802,Jessica White,Home & Kitchen,1199.21,8,4.4,Germany,1675584460
TXN-0010061,Richard Jones,Beauty & Personal Care,81.59,2,3.3,Brazil,11/07/2024
TXN-0004679,Christopher Smith,Toys & Games,1257.35,6,1.9,Canada,2024-10-12 11:14:44
TXN-0004632,John Brown,Automotive,324.03,5,1.0,can,2023-04-25 00:59:02
TXN-0004721,Michael Jones,Automotive,$424.81,4,4.3,United States,2024-12-31
TXN-0005042,Richard Johnson,Apparel,"1,422.88",2,3.9,India,2023-09-17 16:54:01
TXN-0004944,Susan Taylor,Electronics,750.67,4,2.1,Brazil,2023-04-23 14:29:48
TXN-0005604,Elizabeth Martin,AUTOMOTIVE,905.32,4,3.8,France,2023-01-06 23:42:12
TXN-0003362,Daniel Lee,Home & Kitchen,176.53,6,4.5,India,2024-10-14 07:46:17
TXN-0001387,Sarah Martin,Toys & Games,421.24,7,2.2,,2024-11-30 19:02:55
TXN-0003504,Robert Thompson,Automotive,514.02,7,3.4,France,2023-06-21 05:16:22
TXN-0006773,Patricia Wilson,Sports & Outdoors,1191.54,5,4.4,United States,2024-12-04 11:23:05
TXN-0011205,Daniel Lopez,Books,520.98,4,-1.0,United States,2023-01-09 12:36:27
TXN-0002536,Charles Martin,Automotive,12.38,4,1.8,France,2023-11-12 18:22:41
TXN-0009385,Richard Wilson,Automotive,$95.74,7,3.1,Netherlands,2024-06-25 04:30:39
TXN-0002926,Joseph White,aUTOMOTIVE,1317.88,1,4.8,France,2024-08-31 22:58:17
TXN-0010496,Elizabeth Thompson,Toys & Games,NULL,7,2.1,United Kingdom,2023-04-08 12:13:17
TXN-0005789,Sarah Miller,Beauty & Personal Care,1204.7,4,2.3,Canada,02/06/2024
TXN-0011129,Charles Perez,Apparel,129.15,3,6.5,Canada,2024-10-15 05:57:56
TXN-0011525,Elizabeth Martin,AUTOMOTIVE,616.35,5,3.3,France,2023-09-01 03:41:31
TXN-0002532,Susan Rodriguez,Beauty & Personal Care,999.94,7,2.3,India,2024-08-06 18:59:10
TXN-0008870,Charles Davis,Apparel,500.05,2,2.8,United Kingdom,11-04-2024
TXN-0008950,Jennifer Garcia,Automotive,1335.2,4,1.0,France,2024-10-21 17:51:19
TXN-0001273,David Hernandez,home & kitchen,1370.16,5,1.7,United Kingdom,2024-02-29 16:40:57
TXN-0001592,John Martin,Electronics,123.49,5,2.8,France,16-Aug-2023
TXN-0004096,Karen Anderson,Electronics,43.24,1,4.9,United States,19/12/2024
TXN-0001652,Barbara Smith,Beauty & Personal Care,1190.03,7,1.4,Japan,2024-02-03 00:11:47
TXN-0000923,Jessica Smith,Toys & Games,None,5,3.4,Japan,2023-04-29 16:22:27
TXN-0012378,Charles Miller,Books,164.77,4,2.6,Germany,2024-09-19 16:39:54
TXN-0001479,Karen Smith,Electronics,574.1,8,2.5,France,2023-01-28 22:46:28
TXN-0005122,Christopher Rodriguez,aPPAREL,28.98,3,2.1,Netherlands,2024-04-06 02:13:51
TXN-0004746,Joseph Martin,apparel,101.33,7,4.5,Australia,2023-05-12 23:06:41
TXN-0008318,Christopher Gonzalez,Automotive,1161.93,6,4.5,usa,2024-09-11 08:45:40
TXN-0007516,Sarah White,Toys & Games,810.19,7,2.2,Germany,12-Oct-2024
TXN-0001002,John Johnson,Toys & Games,789.83,4,Five,Japan,2023-11-27 22:37:46
TXN-0004898,Sarah Taylor,Beauty & Personal Care,822.68,3,4.1,India,2024-02-16 03:46:08
TXN-0009101,Thomas Moore,sports & outdoors,168.61,3,2.5,France,2024-05-19 15:58:14
TXN-0010489,,Books,835.88,3,2.6,India,2024-06-20 07:11:35
TXN-0006722,David Lee,Home & Kitchen,221.85,7,2.0,India,2023-03-01 10:48:49
TXN-0005111,Thomas Jones,Books,1360.4,7,1.0,France,
TXN-0005167,John Anderson,Home & Kitchen,1452.08,8,N/A,Netherlands,2023-12-04 16:58:34
TXN-0008793,Joseph Anderson,Apparel,107.84,2,3.7,Netherlands,2024-12-24 11:54:36
TXN-0005263,Jessica Martinez,Apparel,"1,092.79",1,1.3,Brazil,2024-08-23 23:47:59
TXN-0002793,Charles Smith,TOYS & GAMES,520.22,3,1.6,Netherlands,2024-10-22 23:27:20
TXN-0004657,David Garcia,Automotive,672.27,NULL,4.8,France,2023-10-08 11:42:49
TXN-0001341,Karen Miller,APPAREL,238.8,7,4.1,Australia,2024-10-24 01:05:29
TXN-0003412,Daniel Brown,Sports & Outdoors,892.91,6,2.0,United Kingdom,2024-04-21 04:12:18
TXN-0011675,Mary Smith,Sports & Outdoors,-1320.69,7,3.2,France,2024-11-26 01:54:11
TXN-0006016,Mary Davis,Beauty & Personal Care,332.33,4,4.6,Germany,29-Apr-2024
TXN-0006162,Daniel Taylor,Electronics,NULL,3,4.9,Germany,2024-08-06 12:20:53
TXN-0002314,Linda Smith,Electronics,1369.75,7,3.4,France,09/20/2024
TXN-0006032,William Smith,Home & Kitchen,-566.39,2,1.2,United States,2023-03-23 05:05:24
TXN-0007452,Christopher Anderson,Electronics,$391.05,5,4.2,Germany,2023-03-14 01:17:18
TXN-0004763,William Gonzalez,Home & Kitchen,973.02,3,6.5,Japan,2024-12-05 20:35:43
TXN-0006376,Richard Davis,APPAREL,1308.29,5,2.2,United Kingdom,2023-06-30 22:09:22
TXN-0012029,Nancy Davis,Apparel,1059.85,4,Five,United Kingdom,2023-11-27 23:05:37
TXN-0002817,Elizabeth Lopez,Beauty & Personal Care,1134.92,4,3.8,Australia,26-Jun-2024
TXN-0010618,Susan Anderson,Apparel,755.81,4,2.9,Brazil,2024-03-06 18:51:04
TXN-0009978,Elizabeth Gonzalez,Apparel,1118.4,4,3.8,France,2023-04-03 03:47:04
TXN-0004905,William Moore,Sports & Outdoors,1493.44,4,3.5,India,02-02-2023
TXN-0001584,Nancy Martinez,Toys & Games,1292.04,7,2.8,Netherlands,06/30/2023
TXN-0005836,Barbara Anderson,apparel,618.77,3,2.9,Germany,2023-06-26 11:57:43
TXN-0008884,Robert Martinez,Beauty & Personal Care,"1,379.64",3,3.9,Brazil,2023-12-23 17:48:07
TXN-0008544,Lisa Lopez,Apparel,1002.26,5,3.5,Netherlands,2024-05-05 21:13:04
TXN-0003673,Daniel Hernandez,Home & Kitchen,499.62,1,4.6,Japan,2024-03-27 19:19:56
TXN-0007612,William Jones,Toys & Games,938.78,2,2.8,Brazil,17-Feb-2023
TXN-0004548,Richard Thomas,Toys & Games,1331.94,5,2.1,Australia,14-08-2023
TXN-0002578,None,Toys & Games,1162.16,4,3.8,Brazil,2023-04-17 04:22:07
TXN-0012314,David Johnson,Automotive,353.44,8,4.2,Japan,05/15/2024
TXN-0003010,Joseph Taylor,Beauty & Personal Care,385.57,4,2.4,Japan,2024-05-18 10:32:12
TXN-0007689,None,Apparel,1457.77,2,3.5,Japan,2024-07-03 05:46:33
TXN-0004473,Lisa Rodriguez,Sports & Outdoors,655.98,8,5.0,Australia,2024-07-31 23:21:05
TXN-0001671,Lisa Johnson,Home & Kitchen,203.78,NULL,2.1,Japan,2023-03-29 11:16:07
TXN-0008889,John Thompson,Home & Kitchen,1458.74,6,Five,United States,2024-07-10 18:05:53
TXN-0003641,Christopher Moore,Books,1143.63,None,2.6,United Kingdom,2023-12-10 13:52:36
TXN-0005269,Linda Miller,Automotive,202.75,5,3.7,United States,2023-03-02 02:49:39
TXN-0005532,John Davis,Beauty & Personal Care,327.55,2,4.7,Netherlands,2024-12-10 21:52:05
TXN-0009033,Elizabeth Hernandez,Books,452.79,6,2.6,Germany,2023-04-29 05:57:07
TXN-0008213,David Miller,Sports & Outdoors,97.91,1,1.7,Brazil,02-Oct-2023
TXN-0004191,Charles White,Apparel,176.79,8,3.8,Australia,2024-09-23 01:07:28
TXN-0008753,Thomas Lee,Apparel,140.52,6,,Netherlands,2024-08-31 08:28:02
TXN-0002946,James Jones,Beauty & Personal Care,563.96,5,4.6,Brazil,2023-11-21 23:41:32
TXN-0001892,Karen Brown,Toys & Games,977.18,4,3.8,Australia,1690872391
TXN-0008275,Daniel Garcia,Sports & Outdoors,357.52,2,3.5,Netherlands,2023-10-03 10:58:33
TXN-0002633,Patricia Martinez,Toys & Games,-890.27,5,4.1,Germany,2023-12-10 07:52:45
TXN-0009676,Robert Perez,Toys & Games,677.39,4,3.2,Australia,2023-07-01 06:15:11
TXN-0007995,Barbara Moore,Apparel,$355.25,1,4.2,Japan,2024-07-03 15:35:28
TXN-0007582,William Perez,Home & Kitchen,$215.65,5,4.6,Netherlands,2023-07-29 19:11:19
TXN-0010160,Karen Wilson,Electronics,327.44,4,0.0,Canada,2023-01-23 14:04:56
TXN-0001897,Daniel Jackson,Toys & Games,826.58,,4.7,Netherlands,2023-10-24 01:22:56
TXN-0000721,John Lopez,Books,-304.39,7,1.5,Australia,2024-10-12 23:29:11
TXN-0011363,Robert Brown,home & kitchen,929.42,5,2.1,United Kingdom,2023-09-26 19:55:17
TXN-0004292,Barbara Lopez,Apparel,488.13,8,3.7,Brazil,2024-11-06 11:00:39
TXN-0009580,Thomas Taylor,Electronics,1340.72,3,Five,Germany,2023-03-23 16:09:35
TXN-0005419,Sarah Thompson,Beauty & Personal Care,886.9,2,4.4,U.S.A.,2024-02-14 01:18:11
TXN-0011432,Mary Perez,Books,777.77,3,7.2,France,2023-03-30 06:44:29
TXN-0002812,Patricia Brown,  Apparel  ,986.95,1,2.1,Germany,2024-11-05 22:09:52
TXN-0008062,Nancy Brown,Apparel,1038.37,5,4.3,,2023-07-05 01:25:46
TXN-0003583,Susan Rodriguez,Toys & Games,1119.62,4,1.9,Japan,2024-10-27 17:43:13
TXN-0008376,Christopher Moore,Automotive,1392.83,6,Five,Germany,2023-03-19 12:27:58
TXN-0001977,William Thompson,Home & Kitchen,-1497.33,2,3.7,United Kingdom,2023-05-22 13:12:58
TXN-0005997,Patricia Thompson,Toys & Games,$284.86,5,1.8,United Kingdom,2024-10-08 19:28:44
TXN-0001998,James Thompson,Apparel,1361.46,2,1.4,United States,2023-09-25 09:19:37
TXN-0007641,Jessica Martinez,eLECTRONICS,920.67,4,1.6,India,2023-10-15 09:58:01
TXN-0008209,Joseph Martinez,Home & Kitchen,1089.02,1,1.1,United Kingdom,2023-05-06 09:12:25
TXN-0004859,Patricia Moore,Books,878.21,5,3.4,Australia,2024-06-17 14:35:02
TXN-0008126,Charles Lee,Home & Kitchen,412.48,4,2.2,United Kingdom,2023-05-27 07:38:22
TXN-0010313,Jennifer Lopez,sPORTS & oUTDOORS,62.3,2,2.0,France,2024-09-21 10:46:31
TXN-0011620,Linda Smith,Books,1432.16,5,3.9,United States,None
TXN-0002629,Sarah Perez,Home & Kitchen,148.79,4,3.7,Japan,24-Jan-2024
TXN-0006850,Elizabeth Smith,Beauty & Personal Care,136.72,4,1.7,ca,2024-07-21 00:42:09
TXN-0011171,Patricia Taylor,Electronics,472.43,8,3.8,Germany,28-07-2024
TXN-0002111,Thomas White,Apparel,730.77,4,2.8,Germany,2024-08-20 15:02:47
TXN-0003441,William Anderson,toys & games,555.3,3,2.4,India,2024-03-09 09:30:03
TXN-0002579,Sarah Lopez,Sports & Outdoors,1493.92,4,1.9,United Kingdom,22-08-2023
TXN-0008982,Nancy Martinez,Beauty & Personal Care,-634.92,1,1.9,Australia,2023-06-01 08:23:12
TXN-0010956,Daniel Martin,Sports & Outdoors,1367.69,6,3.4,Germany,NULL
TXN-0002288,Lisa Wilson,Toys & Games,232.78,2,1.6,Brazil,2023-09-19 04:41:02
TXN-0012187,Robert Martinez,Sports & Outdoors,1395.2,8,4.9,Netherlands,2023-12-23 04:14:50
TXN-0003012,Nancy Hernandez,Apparel,1291.75,None,4.9,Germany,2023-09-29 11:29:23
TXN-0003282,Jennifer Wilson,eLECTRONICS,1347.08,3,4.5,United States,2024-02-01 20:00:45
TXN-0009850,James Perez,Electronics,821.72,4,3.7,United Kingdom,14/07/2024
TXN-0000387,Lisa Moore,Apparel,983.38,4,2.4,Australia,2024-08-01 01:04:42
TXN-0001720,James Perez,Home & Kitchen,569.02,7,4.2,India,2024-11-01 09:03:19
TXN-0011145,Sarah Williams,Apparel,439.52,6,1.2,,2023-12-20 23:04:00
TXN-0010595,Daniel Jackson,Sports & Outdoors,930.53,4,6.5,United States,2023-07-25 14:27:20
TXN-0005053,Mary Jackson,Sports & Outdoors,844.28,6,-1.0,Australia,2023-02-15 23:29:30
TXN-0001326,Jessica Martin,Apparel,967.56,6,3.1,Australia,2023-10-21 14:02:03
TXN-0006267,Jennifer Miller,home & kitchen,915.58,8,1.3,France,2023-08-12 11:59:05
TXN-0012244,Mary Miller,Electronics,962.5,6,2.6,India,23/09/2024
TXN-0012356,Patricia Perez,Sports & Outdoors,618.51,5,1.7,India,2023-06-16 13:18:45
TXN-0002193,Richard Garcia,Toys & Games,"1,398.55",5,1.9,Netherlands,2024-09-23 23:12:41
TXN-0001929,Charles Jackson,Toys & Games,793.9,3,4.5,Netherlands,2024-08-16 16:13:18
TXN-0010569,Nancy Moore,Electronics,247.25,8,0.0,Japan,2024-03-21 15:52:36
TXN-0000278,Patricia Anderson,Automotive,105.43,1,4.2,Australia,31-03-2023
TXN-0007383,Thomas Thomas,Automotive,1173.03,8,4.7,Canada,14-12-2024
TXN-0002786,Jessica Gonzalez,Sports & Outdoors,825.82,4,4.6,United States,2023-10-14 21:19:22
TXN-0007923,Linda Taylor,APPAREL,1026.79,4,3.2,United Kingdom,2024-07-03 06:20:53
TXN-0011113,Lisa Rodriguez,Apparel,-548.53,1,1.8,Germany,2023-05-27 08:08:55
TXN-0010332,Michael Jones,Electronics,648.23,8,2.5,ca,2023-10-26 21:08:57
TXN-0006986,Karen Moore,Books,1059.78,4,2.7,United Kingdom,1697212974
TXN-0004140,Susan Garcia,Apparel,414.81,6,2.2,Brazil,2023-08-14 07:56:09
TXN-0007671,Karen Perez,Books,250.1,6,1.3,Australia,2023-01-01 17:24:15
TXN-0002110,Jennifer Jones,Beauty & Personal Care,64.95,None,2.5,Netherlands,2024-08-11 22:47:39
TXN-0009522,Mary Johnson,Sports & Outdoors,935.60,3,2.6,India,2023-10-11 15:10:29
TXN-0004606,Sarah Davis,Books,627.63,6,3.2,France,2024-12-13 23:35:59
TXN-0011073,Elizabeth Gonzalez,BOOKS,599.62,8,4.1,France,2023-03-12 00:19:59
TXN-0002763,William Gonzalez,Books,1386.57,7,4.4,Brazil,2024-06-11 05:21:05
TXN-0011742,John Taylor,Books,142.62,5,1.4,Canada,2024-05-25 03:21:36
TXN-0008059,Richard Jackson,Beauty & Personal Care,612.78,1,1.0,France,2023-05-18 13:34:07
TXN-0009981,David Miller,Sports & Outdoors,976.45,5,,United States,2023-08-10 18:28:43
TXN-0011299,Thomas Thompson,Apparel,1499.92,7,4.3,Germany,2024-08-06 19:18:29
TXN-0012262,Nancy Martinez,Electronics,958.38,1,Five,Brazil,2024-01-26 04:38:16
TXN-0004426,Jessica Lee,Home & Kitchen,964.58,5,3.6,Germany,2024-07-30 23:21:20
TXN-0011604,Nancy Smith,SPORTS & OUTDOORS,1065.03,8,2.2,Japan,2023-09-27 19:50:51
TXN-0010278,Barbara White,Apparel,682.87,1,3.4,Netherlands,14-Sep-2023
TXN-0004321,Susan Gonzalez,Toys & Games,855.98,8,3.0,United States,2023-09-11 03:16:34
TXN-0004555,David Rodriguez,Home & Kitchen,1176.23,6,0.0,India,2024-09-10 16:27:55
TXN-0009470,Joseph White,Sports & Outdoors,906.65,4,2.3,Canada,1702430205
TXN-0001920,Nancy Martin,Home & Kitchen,660.39,7,4.1,India,2023-07-08 15:54:48
TXN-0003790,Robert Wilson,Apparel,454.43,8,1.2,,2023-07-20 23:39:29
TXN-0010979,Joseph Moore,Automotive,1289.56,8,1.0,Japan,01/06/2024
TXN-0011224,Richard Martin,Apparel,1085.47,7,2.6,United Kingdom,2024-01-10 00:39:22
TXN-0000660,Christopher Martinez,Beauty & Personal Care,11.83,4,1.8,Japan,2024-02-16 19:37:33
TXN-0009084,Susan Miller,Toys & Games,623.0,6,2.6,Australia,2023-10-25 11:48:11
TXN-0011897,Jessica Thompson,Beauty & Personal Care,1063.19,4,2.5,Netherlands,2024-01-24 15:25:54
TXN-0009797,,Automotive,577.09,7,3.5,Japan,2024-11-21 15:22:09
TXN-0008729,Robert Thomas,Electronics,1075.85,2,1.5,United Kingdom,14-Mar-2024
TXN-0007384,Sarah Williams,Beauty & Personal Care,737.9,2,1.3,United Kingdom,2024-07-24 18:51:25
TXN-0002794,NULL,Electronics,256.38,1,1.1,Japan,2024-01-23 04:14:39
TXN-0000929,Mary Lopez,ELECTRONICS,395.69,8,4.8,United Kingdom,2023-04-25 11:07:38
TXN-0007124,None,Electronics,56.15,3,3.9,India,2023-08-21 12:41:20
TXN-0001918,William Martinez,beauty & personal care,980.05,6,4.0,France,2024-11-06 15:33:29
TXN-0010817,Jennifer Moore,Sports & Outdoors,$663.80,7,2.7,Netherlands,2023-02-19 21:12:21
TXN-0007298,Sarah Martinez,Electronics,919.81,6,2.4,Netherlands,2024-12-22 10:25:35
TXN-0000099,Richard Perez,Apparel,1447.41,3,3.0,India,2024-04-03 09:45:38
TXN-0011127,Lisa Moore,Automotive,"$1,030.68",8,2.2,United Kingdom,2023-10-04 14:27:11
TXN-0005399,Karen Smith,Toys & Games,1277.13,3,3.0,United States,07/04/2023
TXN-0000223,Richard Perez,SPORTS & OUTDOORS,959.87,5,2.5,Canada,2023-06-21 12:55:41
TXN-0001144,Thomas Brown,Books,$159.89,1,4.3,Germany,2023-12-11 17:19:39
TXN-0008890,Lisa Thompson,  Sports & Outdoors  ,260.64,4,4.2,United Kingdom,2023-03-23 00:15:12
TXN-0009296,James Thompson,Apparel,1428.1,2,5.0,France,2024-01-10 10:14:10
TXN-0007627,Nancy Garcia,Toys & Games,91.55,6,1.6,United States,2023-11-25 22:02:17
TXN-0008031,Elizabeth Garcia,Books,926.35,8,1.0,Australia,2023-01-13 18:35:59
TXN-0011670,Daniel Garcia,Automotive,1389.32,4,3.3,Japan,2024-12-30 11:38:51
TXN-0006279,Jennifer Johnson,Toys & Games,$179.84,2,4.1,,2024-12-31
TXN-0000006,John Moore,Sports & Outdoors,1328.75,6,3.3,Netherlands,01/07/2024
TXN-0008603,Barbara Taylor,Automotive,876.0,6,2.5,United Kingdom,2023-09-30 05:02:35
TXN-0001533,Richard Perez,toys & games,60.56,7,4.3,United States,2023-11-17 08:08:43
TXN-0011889,Karen Martinez,Home & Kitchen,853.59,8,2.5,India,
TXN-0005673,Michael Miller,Home & Kitchen,127.69,4,1.3,Australia,2023-06-02 23:52:22
TXN-0008837,Mary Moore,Automotive,$386.10,5,3.3,United States,2024-05-16 07:54:17
TXN-0003091,Michael Gonzalez,Electronics,78.22,2,4.5,Japan,2023-09-18 15:32:01
TXN-0007989,Robert Martin,Home & Kitchen,204.94,1,-1.0,France,2023-03-20 02:56:37
TXN-0011513,Daniel Jones,Automotive,738.03,,2.4,Netherlands,2023-03-22 04:37:57
TXN-0010927,Michael Miller,Books,222.35,5,4.8,Japan,2024-01-30 21:02:34
TXN-0000853,Sarah Anderson,Beauty & Personal Care,590.83,6,1.3,United States,2024-03-20 03:29:24
TXN-0002242,Charles Smith,Electronics,328.2,8,1.4,India,2024-08-07 14:08:15
TXN-0002491,Linda Wilson,Home & Kitchen,-1261.33,5,3.2,Japan,2023-01-24 16:15:03
TXN-0001589,James Perez,Books,681.11,1,2.6,can,2023-09-26 02:41:56
TXN-0012211,Nancy Miller,Beauty & Personal Care,907.32,3,None,Netherlands,2023-12-31 00:31:49
TXN-0002679,Charles Martinez,Electronics,1140.54,3,3.3,Brazil,26-Jul-2024
TXN-0003432,James Miller,automotive,1248.79,1,2.8,United States,2024-09-21 17:20:15
TXN-0001580,Lisa Rodriguez,Sports & Outdoors,364.82,4,3.5,Japan,2024-03-19 05:04:25
TXN-0010503,Mary White,Home & Kitchen,1399.01,7,2.3,Netherlands,2024-04-07 05:38:21
TXN-0001968,Michael White,beauty & personal care,387.77,4,2.3,India,2024-12-14 08:08:48
TXN-0007954,James Davis,Automotive,1396.8,6,2.2,Germany,2024-10-27 23:04:56
TXN-0008915,Nancy Johnson,Beauty & Personal Care,1191.98,5,4.0,Brazil,2023-09-04 15:34:43
TXN-0002352,Karen Johnson,Apparel,1158.61,6,4.1,United Kingdom,2023-08-21 11:13:38
